"Id","SalePrice"
1461,109579.003162658
1462,156321.210216037
1463,185458.73580781
1464,197421.952344785
1465,190970.315704976
1466,170339.843118887
1467,177987.093039853
1468,164632.980086694
1469,199842.767675556
1470,114957.646926509
1471,176433.931096271
1472,92670.5182553617
1473,94472.4671594483
1474,145293.487120969
1475,108563.705157326
1476,364879.739947224
1477,253428.657516338
1478,297042.359647586
1479,311593.841061977
1480,458222.474026133
1481,323706.543276527
1482,210605.939656079
1483,179745.193356741
1484,160186.211920156
1485,194918.923948368
1486,190562.872353447
1487,316924.810284945
1488,229952.865473865
1489,196031.565581306
1490,238230.758355773
1491,193476.41133393
1492,84901.4762558186
1493,181039.848334873
1494,289314.659729387
1495,287949.282104618
1496,227033.413008628
1497,181120.877519395
1498,168649.939995068
1499,163417.260665154
1500,156741.643514127
1501,177273.44160869
1502,138772.593362574
1503,301807.606802547
1504,240626.352008871
1505,223547.433392662
1506,197830.833550798
1507,243607.657222351
1508,205037.274980148
1509,166575.398382982
1510,142256.826127812
1511,151995.246880258
1512,170143.178526783
1513,147976.431443937
1514,157333.008562248
1515,204419.25425977
1516,157320.950997174
1517,184820.312065723
1518,126124.853437735
1519,202534.682178159
1520,130395.469886242
1521,132778.084624407
1522,173504.727038351
1523,113788.877802706
1524,124971.830285339
1525,118619.531386595
1526,113382.815315571
1527,103489.816644481
1528,144444.237063714
1529,149010.897091453
1530,189495.758878843
1531,111015.274346838
1532,98201.4092364945
1533,160188.082820218
1534,123561.354465665
1535,148184.12910883
1536,107804.880929261
1537,57257.462258688
1538,142914.251448289
1539,190460.235164703
1540,91785.5628666199
1541,143461.911789534
1542,141426.637163371
1543,188507.198673172
1544,87307.3496044818
1545,124903.615954916
1546,132169.570937242
1547,137331.282801462
1548,138392.226703905
1549,116076.116641713
1550,131431.865146184
1551,109997.837764899
1552,122378.219192117
1553,135621.358175529
1554,113899.848596613
1555,164815.147578364
1556,92450.296820034
1557,103310.067652014
1558,98773.9508207875
1559,63774.1004467349
1560,130334.64450325
1561,121629.232446189
1562,130358.149152034
1563,117081.00511712
1564,152774.006605124
1565,148057.179628557
1566,261826.474470685
1567,74693.827019579
1568,228224.342784699
1569,120039.781835037
1570,138405.138718077
1571,115173.17983848
1572,139417.208168795
1573,247813.926638819
1574,111190.814622981
1575,234806.349968557
1576,248418.572377983
1577,182325.305099493
1578,147051.67514162
1579,151205.806234365
1580,198465.054515559
1581,161495.520357071
1582,127427.544778134
1583,283336.633615013
1584,214020.579876979
1585,133703.434287852
1586,75564.133142209
1587,95920.6592707313
1588,151417.88543653
1589,93472.7692806236
1590,133894.75651695
1591,93129.9940492979
1592,116240.719206575
1593,121964.633806906
1594,134088.82438026
1595,109546.877337915
1596,228315.166168639
1597,194823.569175318
1598,244231.117545671
1599,173302.989617414
1600,157313.358570599
1601,66611.0598763739
1602,107308.317209472
1603,67721.2185508262
1604,260835.123795569
1605,236195.156017543
1606,168682.563965915
1607,177518.147802309
1608,215362.884029214
1609,179978.445874223
1610,145424.246327445
1611,140482.60661775
1612,170621.755071697
1613,160910.918857273
1614,116889.815046322
1615,88410.1503879752
1616,75396.7518184725
1617,88250.1323926357
1618,124107.353932961
1619,137285.819145487
1620,130357.628978009
1621,137748.43248572
1622,134082.27379808
1623,257817.934923613
1624,201746.312214891
1625,116919.89244157
1626,164947.452905627
1627,188592.049725641
1628,280869.638447519
1629,185672.195550203
1630,351250.153090759
1631,230790.494674135
1632,251027.248896311
1633,175521.918744965
1634,188140.988158249
1635,177507.238524725
1636,153057.670882374
1637,195389.429533239
1638,183964.165880389
1639,186593.743031126
1640,248025.409795509
1641,183557.017132451
1642,251487.648526292
1643,217894.324153066
1644,235002.411875263
1645,191434.138181612
1646,160616.77000944
1647,159323.982372054
1648,126713.080752726
1649,141070.683847725
1650,114909.59615624
1651,117626.851422302
1652,98450.5924542319
1653,103609.34664271
1654,140293.409092749
1655,137520.098404075
1656,143576.292693983
1657,148283.791554098
1658,143552.098245929
1659,118124.589017816
1660,151779.186328398
1661,424575.798496142
1662,406585.451718492
1663,364815.157490068
1664,502265.36791525
1665,308234.952450668
1666,333603.996737145
1667,383627.860805195
1668,332290.853200528
1669,312620.971870913
1670,338795.488534562
1671,254724.152706197
1672,416798.670993002
1673,285964.069804008
1674,243264.234435888
1675,191773.757252446
1676,198657.82663689
1677,219769.117338467
1678,458021.492985549
1679,388334.804186636
1680,327953.307821516
1681,244003.442576786
1682,314636.960279805
1683,182539.057421843
1684,172761.48630439
1685,169414.008237622
1686,168592.191453803
1687,172361.937244581
1688,186697.013884339
1689,187207.740799456
1690,195015.698552196
1691,181552.482808249
1692,266592.735302471
1693,174195.202031999
1694,184739.601857469
1695,168615.004409816
1696,257302.830910683
1697,177692.885221475
1698,336647.383941686
1699,296412.553353938
1700,247542.086743798
1701,269943.987537377
1702,234621.049159929
1703,233316.008871922
1704,270237.432541998
1705,233816.988971103
1706,415782.801278378
1707,220721.262208032
1708,199351.901374255
1709,259578.626204808
1710,224977.120255585
1711,281268.693586416
1712,259307.620099712
1713,280115.387613349
1714,227285.320575218
1715,213675.001318013
1716,184256.272982581
1717,176106.395579324
1718,142844.226276629
1719,210304.842360423
1720,240125.652282715
1721,145874.706171547
1722,121462.51408102
1723,144091.33137232
1724,205424.626737689
1725,235664.764227014
1726,183861.47582649
1727,154446.023069432
1728,157765.022347808
1729,169857.418144469
1730,168989.745085431
1731,127241.60512242
1732,125140.731100071
1733,108237.769871016
1734,116418.617633895
1735,116053.44756798
1736,113336.876841477
1737,341056.339430074
1738,263938.227056577
1739,256495.118201715
1740,212543.71928114
1741,194951.024324363
1742,177741.23645273
1743,177915.629751717
1744,371262.886862379
1745,214966.194754549
1746,190957.020707481
1747,201367.6436605
1748,219980.600285193
1749,143667.668878902
1750,131559.522641336
1751,241020.386473257
1752,114136.829385337
1753,147648.234258077
1754,194183.865684196
1755,171951.7504794
1756,128305.882344458
1757,119035.551560397
1758,143465.264488351
1759,174042.218920432
1760,158664.915800788
1761,144234.15672952
1762,175841.539490276
1763,189482.715607566
1764,113890.780509075
1765,140919.842451469
1766,182504.261816201
1767,229348.818294844
1768,141139.12281868
1769,174913.287896599
1770,151161.53889744
1771,129451.674613882
1772,131692.853822336
1773,122374.770443286
1774,144533.870002041
1775,144088.0386372
1776,118591.519179027
1777,104290.847414243
1778,141997.832641
1779,112705.393841303
1780,177128.123974404
1781,127267.788807554
1782,86484.4382488574
1783,136000.049055112
1784,94462.123590562
1785,127434.304761148
1786,139989.164897527
1787,160999.047549338
1788,63696.9855145746
1789,97691.1850495119
1790,75418.3252549428
1791,185754.698839743
1792,160396.329260764
1793,136204.166194169
1794,157541.163948063
1795,135522.463173352
1796,113017.405881874
1797,111111.428709013
1798,126496.264289957
1799,109629.044157755
1800,129630.322309869
1801,130433.220380884
1802,131163.324990332
1803,148249.486155181
1804,133799.903559629
1805,135509.476074888
1806,128962.082868295
1807,124319.617642529
1808,112479.222480897
1809,115913.396048355
1810,129298.938222391
1811,91539.5665336296
1812,98967.8208621049
1813,137572.940008297
1814,90292.209534677
1815,53633.3409080773
1816,105860.659667279
1817,98713.0234390228
1818,155597.819237176
1819,126014.109263871
1820,51052.0517629778
1821,107761.666997031
1822,148121.321743067
1823,39731.9408513613
1824,131975.613679392
1825,120919.155551594
1826,104259.244419798
1827,104886.417336656
1828,132383.700603377
1829,121504.043720457
1830,145731.803984047
1831,149628.551060336
1832,81866.54288319
1833,142621.464137746
1834,108887.622477792
1835,117026.341458487
1836,126008.490844788
1837,97893.8149844688
